lane_section	bn_topics	lane_says	bn_says
1549	bn-275-jussive-subjunctive,bn-276-prohibitive-subjunctive	1549. (2.) The perfect subjunctive is rare: as, idem dictum sit, Quintil. 1, 1, 8, the sam	Jussive Subjunctive; Prohibitive Subjunctive
1550	bn-275-jussive-subjunctive	1550. In positive commands, the second person singular often has a definite subject in old	Jussive Subjunctive
1551	bn-276-prohibitive-subjunctive	1551. When a prohibition is expressed in the subjunctive, the second person of the present	Prohibitive Subjunctive
1552	bn-275-jussive-subjunctive	1552. (3.) The imperfect or (but not in old Latin) pluperfect subjunctive is sometimes use	Jussive Subjunctive
1553	bn-278-concessive-subjunctive	1553. The subjunctive of desire may be used to denote willingness, assumption, or concessi	Concessive Subjunctive
1556	bn-280-potential-subjunctive	1556. The present denotes action in an indefinite future: as, (a.) ego forsitan in grege a	Potential Subjunctive
1557	bn-280-potential-subjunctive	1557. (1.) The perfect seldom occurs in old Latin. Later, it is rarely used of past time. 	Potential Subjunctive
1558	bn-280-potential-subjunctive	1558. (2.) The perfect is oftenest used with a future meaning, and particularly the first 	Potential Subjunctive
1559	bn-280-potential-subjunctive	1559. (1.) The imperfect properly denotes action which might have taken place in the past:	Potential Subjunctive
1560	bn-280-potential-subjunctive	1560. (2.) The imperfect often denotes action not performed at the present time; so especi	Potential Subjunctive
1561	bn-280-potential-subjunctive	1561. The pluperfect represents action which did not take place in the past: as, (a.) vell	Potential Subjunctive
1563	bn-277-deliberative-subjunctive	1563. I. The subjunctive is often used to ask what action or whether any action is desired	Deliberative Subjunctive
1564	bn-277-deliberative-subjunctive	1564. Such questions sometimes have the alternative form: as, Corinthiīs bellum indīcāmus,	Deliberative Subjunctive
1565	bn-280-potential-subjunctive	1565. II. The subjunctive is often used to ask whether action is conceivable: as, (a.) qui	Potential Subjunctive
1567	bn-277-deliberative-subjunctive	1567. (1.) The question may have no interrogative word, or may have -ne, especially in com	Deliberative Subjunctive
1568	bn-277-deliberative-subjunctive	1568. (2.) The question may have utī or ut: as, tē ut ūlla rēs frangat? tū ut umquam tē co	Deliberative Subjunctive
1569	bn-277-deliberative-subjunctive	1569. (3.) The question with utī or ut is sometimes attended by a remnant of another quest	Deliberative Subjunctive
1571	bn-280-potential-subjunctive	1571. The second person of the imperative mood is used in commands, either particular or g	Potential Subjunctive
1573	bn-280-potential-subjunctive	1573. In Plautus and Terence, the enclitic dum, a while, a minute, just, is often attached	Potential Subjunctive
1575	bn-280-potential-subjunctive	1575. (1.) The third person, and the longer forms of the second person, are used particula	Potential Subjunctive
1577	bn-280-potential-subjunctive	1577. (3.) It may be mentioned here, that the longer forms are very often used in the apod	Potential Subjunctive
1578	bn-280-potential-subjunctive	1578. In such combinations, however, the shorter forms are sometimes found: as, ubi volēs,	Potential Subjunctive
1579	bn-275-jussive-subjunctive	1579. A command is sometimes expressed by the subjunctive, accompanying fac, facitō, fac u	Jussive Subjunctive
1583	bn-276-prohibitive-subjunctive	1583. (2.) Prohibitions in the second person are usually expressed by nōlī or nōlīte with 	Prohibitive Subjunctive
1587	bn-257-tenses-of-the-indicative	1587. The present indicative represents action as going on at the time of speaking or writ	Tenses of the Indicative
1588	bn-257-tenses-of-the-indicative	1588. The present is used to denote action customary or repeated at any time, or a general	Tenses of the Indicative
1589	bn-257-tenses-of-the-indicative	1589. The present, when accompanied by some expression of duration of time, is often used 	Tenses of the Indicative
1591	bn-257-tenses-of-the-indicative	1591. The present is sometimes used in brief historical or personal memoranda, to note inc	Tenses of the Indicative
1592	bn-257-tenses-of-the-indicative	1592. Verbs of hearing, seeing, and saying are often put in the present, even when they re	Tenses of the Indicative
1595	bn-257-tenses-of-the-indicative	1595. The imperfect often denotes past action lasting while something else occurred: as, a	Tenses of the Indicative
1596	bn-257-tenses-of-the-indicative	1596. The imperfect is used to denote repeated or customary past action or condition: as, 	Tenses of the Indicative
1597	bn-257-tenses-of-the-indicative	1597. The imperfect, when accompanied by some expression of duration of time, is used to d	Tenses of the Indicative
1599	bn-257-tenses-of-the-indicative	1599. In descriptions of place or in general truths, where the present might be expected, 	Tenses of the Indicative
1601	bn-257-tenses-of-the-indicative	1601. In letters, the imperfect may denote action at the time of writing, the writer trans	Tenses of the Indicative
1603	bn-257-tenses-of-the-indicative	1603. The historical perfect simply expresses action as having occurred at an indefinite p	Tenses of the Indicative
1606	bn-257-tenses-of-the-indicative	1606. In old Latin, habeō with the perfect participle is sometimes equivalent to a periphr	Tenses of the Indicative
1609	bn-257-tenses-of-the-indicative	1609. In the perfect passive, forms of fuī, &c., are sometimes used to represent a state n	Tenses of the Indicative
1611	bn-257-tenses-of-the-indicative	1611. The perfect may denote an action often done, or never done: as, iam saepe hominēs pa	Tenses of the Indicative
1612	bn-257-tenses-of-the-indicative	1612. The perfect is sometimes used as a lively future perfect to express completed future	Tenses of the Indicative
1613	bn-257-tenses-of-the-indicative	1613. It may be mentioned here, that the perfect is regularly used in a subordinate senten	Tenses of the Indicative
1614	bn-257-tenses-of-the-indicative	1614. The pluperfect indicative expresses past action, completed before another past actio	Tenses of the Indicative
1615	bn-257-tenses-of-the-indicative	1615. The pluperfect often expresses a past resulting state: as, castra oportūnīs locīs er	Tenses of the Indicative
1616	bn-257-tenses-of-the-indicative	1616. In letters, the pluperfect is sometimes used to denote action occurring previous to 	Tenses of the Indicative
1617	bn-257-tenses-of-the-indicative	1617. The pluperfect is sometimes used where the perfect would be expected. Particularly s	Tenses of the Indicative
1619	bn-257-tenses-of-the-indicative	1619. The future indicative expresses future action, either momentary or continuous: as, s	Tenses of the Indicative
1620	bn-257-tenses-of-the-indicative	1620. The future is often used in diffident assertion, to express an assumption, a belief,	Tenses of the Indicative
1624	bn-257-tenses-of-the-indicative	1624. The future is sometimes used, particularly in the second person, to express an exhor	Tenses of the Indicative
1625	bn-257-tenses-of-the-indicative	1625. It may be mentioned here, that the future is used in sentences subordinate to a futu	Tenses of the Indicative
1627	bn-257-tenses-of-the-indicative	1627. It may be mentioned here that the future perfect in protasis and apodosis both denot	Tenses of the Indicative
1629	bn-257-tenses-of-the-indicative	1629. The future perfect is sometimes used to express rapidity of future action, often wit	Tenses of the Indicative
1630	bn-257-tenses-of-the-indicative	1630. The future perfect often denotes action postponed to a more convenient season, or th	Tenses of the Indicative
1631	bn-257-tenses-of-the-indicative	1631. The future perfect sometimes denotes action which will have occurred while something	Tenses of the Indicative
1633	bn-115-periphrastic-conjugation	1633. The future active participle combined with the tenses of sum expresses action impend	Periphrastic Conjugation
1635	bn-266-tenses-of-the-subjunctive	1635. The present subjunctive is sometimes used in reference to past action, like the indi	Tenses of the Subjunctive
1639	bn-341-coordinate-conjunctions	1639. (a.) In animated narration of events happening at the same moment, in description, a	Coördinate Conjunctions
1640	bn-341-coordinate-conjunctions	1640. (b.) In contrasts or antitheses: as, opīniōnis commenta dēlet diēs, nātūrae iūdicia 	Coördinate Conjunctions
1641	bn-341-coordinate-conjunctions	1641. Asyndeton is very common with two or more imperatives: as, ēgredere ex urbe, Catilīn	Coördinate Conjunctions
1642	bn-341-coordinate-conjunctions	1642. Asyndeton is also common with parentheses. These often take the place of a modern fo	Coördinate Conjunctions
1645	bn-341-coordinate-conjunctions	1645. (1.) et, and, is the commonest copulative, and connects either likes or unlikes; wit	Coördinate Conjunctions
1646	bn-341-coordinate-conjunctions	1646. With three or more members, et is either used between the members or, frequently, pr	Coördinate Conjunctions
1647	bn-341-coordinate-conjunctions	1647. Two members belonging closely together as a pair, and connected by et, atque, or -qu	Coördinate Conjunctions
1649	bn-341-coordinate-conjunctions	1649. (2.) -que, and, combines members which belong together and make a whole, though they	Coördinate Conjunctions
1652	bn-341-coordinate-conjunctions	1652. (3.) atque, or before any consonant except h often ac, and, and besides, adds someth	Coördinate Conjunctions
1653	bn-341-coordinate-conjunctions	1653. atque is used in comparisons, after words of likeness and unlikeness: as, parī spati	Coördinate Conjunctions
1655	bn-341-coordinate-conjunctions	1655. A sentence is often introduced by et, -que, or atque, where but would be used in Eng	Coördinate Conjunctions
1657	bn-341-coordinate-conjunctions	1657. (4.) neque or nec, neither, nor, and . . . not, but . . . not, is used as a negative	Coördinate Conjunctions
1659	bn-341-coordinate-conjunctions	1659. Instead of neque or nec, and not, the copulatives et, atque, rarely -que, followed b	Coördinate Conjunctions
1660	bn-341-coordinate-conjunctions	1660. When neque is followed by another negative, the assertion is positive (1452): as, ne	Coördinate Conjunctions
1661	bn-341-coordinate-conjunctions	1661. After a general negative, a word may be emphasized by nē ... quidem or nōn modo, or 	Coördinate Conjunctions
1665	bn-341-coordinate-conjunctions	1665. (2.) Affirmative and negative copulatives are sometimes combined. Thus neque or nec 	Coördinate Conjunctions
1668	bn-341-coordinate-conjunctions	1668. (1.) aut, or, sometimes or even, or at least, is used between two members which are 	Coördinate Conjunctions
1669	bn-341-coordinate-conjunctions	1669. aut, in the sense of otherwise, or else, sometimes introduces a statement of what ne	Coördinate Conjunctions
1670	bn-341-coordinate-conjunctions	1670. (2.) vel, or, introduces an alternative as a matter of choice or preference, and oft	Coördinate Conjunctions
1671	bn-341-coordinate-conjunctions	1671. vel is sometimes used in the sense of if you will, even, or perhaps, especially befo	Coördinate Conjunctions
1672	bn-341-coordinate-conjunctions	1672. (3.) sīve or seu, or, used as a disjunctive conjunction, denotes a distinction which	Coördinate Conjunctions
1673	bn-341-coordinate-conjunctions	1673. sīve is often repeated in the sense of either, or no matter whether . . . or: as, 28	Coördinate Conjunctions
1674	bn-341-coordinate-conjunctions	1674. (4.) -ve rarely connects main sentences, usually only the less important parts of th	Coördinate Conjunctions
1680	bn-341-coordinate-conjunctions	1680. nōn modo, or nōn sōlum, not only, not alone, is followed by sed etiam or vērum etiam	Coördinate Conjunctions
1681	bn-341-coordinate-conjunctions	1681. nōn modo has sometimes the meaning of nōn dīcam: as, nōn modo ad certam mortem, sed 	Coördinate Conjunctions
1684	bn-341-coordinate-conjunctions	1684. (4.) vērō, but, indeed, introduces an emphatic contrast or a climax: as, sed sunt ha	Coördinate Conjunctions
1685	bn-341-coordinate-conjunctions	1685. (5.) at, but, denotes emphatic lively opposition, an objection, or a contrast: as, b	Coördinate Conjunctions
1686	bn-341-coordinate-conjunctions	1686. (6.) tamen, nihilō minus, nevertheless. accūsātus capitis absolvitur, multātur tamen	Coördinate Conjunctions
1687	bn-341-coordinate-conjunctions	1687. Instead of a conjunction, other words are often used as connectives: as, pars . . . 	Coördinate Conjunctions
1688	bn-341-coordinate-conjunctions	1688. Simple sentences may also be coordinated by words denoting inference or cause, such 	Coördinate Conjunctions
1689	bn-341-coordinate-conjunctions	1689. In Plautus, the combination ergō igitur occurs, and in Terence and Livy, itaque ergō	Coördinate Conjunctions
1691	bn-341-coordinate-conjunctions	1691. Simple sentences may also be coordinated by pronominal words, such as hinc, inde, he	Coördinate Conjunctions
1692	bn-341-coordinate-conjunctions	1692. In animated rhetorical discourse any word repeated with emphasis may serve as a copu	Coördinate Conjunctions
1699		1699. (4.) The coordinated member may represent a subordinate temporal member: as, vēnit h	
1701	bn-301-conditional-sentences	1701. (6.) The coordinated member may be equivalent to a conditional protasis: as, (a.) fī	Conditional Sentences
1702		1702. (7.) The coordinated member may be equivalent to a concession: as, id fortasse nōn p	
1704	bn-279-optative-subjunctive	1704. (9.) The coordinated member may represent the protasis of a comparative sentence wit	Optative Subjunctive
1707	bn-292-temporal-clauses-with-the-subjunctive	1707. (1.) The subjunctive is often coordinated with verbs of wishing. Such are volō, nōlō	Temporal clauses with the subjunctive
1708	bn-292-temporal-clauses-with-the-subjunctive	1708. (2.) The subjunctive is often coordinated with verbs of request, entreaty, encourage	Temporal clauses with the subjunctive
1709	bn-292-temporal-clauses-with-the-subjunctive	1709. (3.) The subjunctive is often coordinated with expressions of propriety or necessity	Temporal clauses with the subjunctive
1710	bn-292-temporal-clauses-with-the-subjunctive,bn-278-concessive-subjunctive	1710. (4.) The subjunctive is sometimes coordinated with verbs of permission or concession	Temporal clauses with the subjunctive; Concessive Subjunctive
1712	bn-292-temporal-clauses-with-the-subjunctive	1712. (6.) The subjunctive is often coordinated with verbs of giving, persuading, accompli	Temporal clauses with the subjunctive
1715	bn-164-simple-and-compound-sentences	1715. Subordinate sentences may have the value of a substantive, usually as subject or as 	Simple and Compound Sentences
1721	bn-314-moods-in-indirect-discourse,bn-324-subjunctive-by-attraction	1721. The indicative is ordinarily used in sentences introduced by a relative pronoun, or 	Moods in Indirect Discourse; Subjunctive by Attraction
1724	bn-314-moods-in-indirect-discourse	1724. In the complete form of indirect discourse, the subjunctive is subordinate to an inf	Moods in Indirect Discourse
1725	bn-323-implied-indirect-discourse	1725. The idea of saying or thinking is often not formally expressed in the main sentence,	Implied Indirect Discourse
1728	bn-324-subjunctive-by-attraction	1728. The subjunctive is used in sentences expressing an essential part of the thought, wh	Subjunctive by Attraction
1729	bn-314-moods-in-indirect-discourse	1729. The indicative is kept in subordinate statements added or vouched for by the person 	Moods in Indirect Discourse
1730	bn-301-conditional-sentences	1730. The subjunctive is sometimes used in relative, temporal, or conditional sentences, t	Conditional Sentences
1731		1731. The subjunctive of wish, of action conceivable, or of interrogation, is sometimes us	
1733	bn-257-tenses-of-the-indicative,bn-292-temporal-clauses-with-the-subjunctive	1733. (1.) The subordinate indicative tense may express action concurrent with the main ac	Tenses of the Indicative; Temporal clauses with the subjunctive
1735	bn-257-tenses-of-the-indicative	1735. (a.) Action contemporaneous with a main present is expressed by a present, with a ma	Tenses of the Indicative
1736	bn-257-tenses-of-the-indicative	1736. (b.) Action antecedent to a main present is expressed by a perfect, to a main future	Tenses of the Indicative
1737	bn-257-tenses-of-the-indicative	1737. (c.) Action subsequent to a main present is expressed by the future participle with 	Tenses of the Indicative
1746	bn-266-tenses-of-the-subjunctive	1746. (1.) The present, or perfect subjunctive, or the future participle with a form of si	Tenses of the Subjunctive
1747	bn-266-tenses-of-the-subjunctive	1747. (2.) The imperfect, or pluperfect subjunctive, or the future participle with a form 	Tenses of the Subjunctive
1748	bn-266-tenses-of-the-subjunctive	1748. With any kind of a secondary main sentence, a subordinate general truth usually stan	Tenses of the Subjunctive
1750	bn-266-tenses-of-the-subjunctive	1750. In a single example, a future perfect of resulting state is represented in subordina	Tenses of the Subjunctive
1751	bn-266-tenses-of-the-subjunctive	1751. (1.) An imperfect subjunctive expressing a particular past result, cause, reason, &c	Tenses of the Subjunctive
1752	bn-266-tenses-of-the-subjunctive	1752. (2.) The present of vivid narration is commonly regarded as a secondary tense, espec	Tenses of the Subjunctive
1753	bn-266-tenses-of-the-subjunctive	1753. (3.) Subordinate sentences of past action conceivable, of action non-occurrent, or d	Tenses of the Subjunctive
1754	bn-266-tenses-of-the-subjunctive	1754. A final subjunctive subordinate to a perfect definite sometimes has the primary sequ	Tenses of the Subjunctive
1756	bn-266-tenses-of-the-subjunctive	1756. (1.) In relative, causal, or concessive sentences: as, cum in cēterīs colōniīs duūm 	Tenses of the Subjunctive
1757	bn-266-tenses-of-the-subjunctive	1757. (2.) Often in consecutive sentences: as, (a.) in prōvinciā Siciliā, quam iste per tr	Tenses of the Subjunctive
1760	bn-266-tenses-of-the-subjunctive	1760. (3.) An indirect question in the present or perfect sometimes retains its original t	Tenses of the Subjunctive
1761	bn-266-tenses-of-the-subjunctive	1761. The subordinate subjunctive has sometimes the sequence of the nearest verb, instead 	Tenses of the Subjunctive
1762	bn-266-tenses-of-the-subjunctive	1762. When the leading verb is a subjunctive, the present is regarded as primary, and the 	Tenses of the Subjunctive
1764	bn-266-tenses-of-the-subjunctive	1764. (1.) The perfect subjunctive in independent main sentences of prohibition (1551) or 	Tenses of the Subjunctive
1765	bn-266-tenses-of-the-subjunctive	1765. (2.) In subordinate sentences, the perfect subjunctive has the main sequence when it	Tenses of the Subjunctive
1766	bn-266-tenses-of-the-subjunctive	1766. (1.) A subjunctive subordinate to one of the nouns of the verb, except the perfect i	Tenses of the Subjunctive
1767	bn-266-tenses-of-the-subjunctive	1767. (2.) With a perfect infinitive or perfect participle, the subordinate subjunctive ma	Tenses of the Subjunctive
1768	bn-266-tenses-of-the-subjunctive	1768. The sequence with a perfect infinitive is, however, often primary: as, hīc sī fīnem 	Tenses of the Subjunctive
1769	bn-266-tenses-of-the-subjunctive	1769. The secondary sequence is used with meminī, remember, even when it has the present i	Tenses of the Subjunctive
1771	bn-317-tenses-in-indirect-discourse	1771. (1.) Sentences of relative time express contemporaneous, antecedent, and subsequent 	Tenses in Indirect Discourse
1772	bn-317-tenses-in-indirect-discourse	1772. (2.) Sentences with independent time retain the independent time in the subjunctive 	Tenses in Indirect Discourse
1775	bn-292-temporal-clauses-with-the-subjunctive	1775. Indirect Yes or No questions are introduced by the same interrogative particles that	Temporal clauses with the subjunctive
1777	bn-292-temporal-clauses-with-the-subjunctive	1777. A conditional protasis with sī, if, to see if, or sī forte, if perchance, sometimes 	Temporal clauses with the subjunctive
1778	bn-292-temporal-clauses-with-the-subjunctive	1778. Indirect alternative questions are introduced like direct questions (1519). But when	Temporal clauses with the subjunctive
1780	bn-292-temporal-clauses-with-the-subjunctive	1780. -ne in the second member only of an alternative question is rare, and not used by Ca	Temporal clauses with the subjunctive
1782	bn-292-temporal-clauses-with-the-subjunctive	1782. (2.) The second member only of an alternative question is often expressed after haud	Temporal clauses with the subjunctive
1784	bn-292-temporal-clauses-with-the-subjunctive	1784. Two alternatives are rarely used without any interrogative particles at all: as, vel	Temporal clauses with the subjunctive
1785	bn-292-temporal-clauses-with-the-subjunctive	1785. Indirect pronoun questions are introduced by the same pronominal words that are used	Temporal clauses with the subjunctive
1786	bn-292-temporal-clauses-with-the-subjunctive	1786. Questions already in the subjunctive may also become indirect. Thus, quō mē vertam? 	Temporal clauses with the subjunctive
1787	bn-292-temporal-clauses-with-the-subjunctive	1787. In old Latin, the indicative occurs often in connections where the subjunctive would	Temporal clauses with the subjunctive
1789	bn-252-syntax-of-indefinite-pronouns	1789. This combination often expresses admiration, contempt, or regret: as, contendō tum i	Syntax of indefinite pronouns
1795	bn-250-syntax-of-relative-pronouns	1795. (1.) The relative pronoun, like the English relative who, which, was developed from 	Syntax of relative pronouns
1796	bn-250-syntax-of-relative-pronouns	1796. (2.) The relative sentence may also come last. As early as Plautus, this had become 	Syntax of relative pronouns
1798	bn-250-syntax-of-relative-pronouns	1798. The main sentence often has the determinative or demonstrative, or the substantive, 	Syntax of relative pronouns
1799	bn-250-syntax-of-relative-pronouns	1799. The antecedent is often omitted when it is indefinite, or is obvious from the contex	Syntax of relative pronouns
1800	bn-250-syntax-of-relative-pronouns	1800. An ablative or nominative abstract in the relative sentence sometimes represents an 	Syntax of relative pronouns
1803	bn-250-syntax-of-relative-pronouns	1803. When the relative refers to two or more antecedents of different gender, its gender 	Syntax of relative pronouns
1804	bn-250-syntax-of-relative-pronouns	1804. The relative is sometimes regulated by the sense, and not by the form of the anteced	Syntax of relative pronouns
1805	bn-250-syntax-of-relative-pronouns	1805. A relative referring to a proper name and explanatory appellative combined, may take	Syntax of relative pronouns
1806	bn-250-syntax-of-relative-pronouns	1806. With verbs of indeterminate meaning (1035), the relative pronoun sometimes agrees wi	Syntax of relative pronouns
1807	bn-250-syntax-of-relative-pronouns	1807. When the relative is subject, its verb agrees with the person of the antecedent: as,	Syntax of relative pronouns
1809	bn-250-syntax-of-relative-pronouns	1809. A new substantive added in explanation of an antecedent is put after the relative, a	Syntax of relative pronouns
1810	bn-250-syntax-of-relative-pronouns	1810. An adjective, especially a comparative, superlative, or numeral, explanatory of a su	Syntax of relative pronouns
1811	bn-250-syntax-of-relative-pronouns	1811. When reference is made to the substance of a sentence, the neuter quod is used, or m	Syntax of relative pronouns
1812	bn-301-conditional-sentences	1812. The relative is sometimes equivalent to a conditional protasis. When thus used, it m	Conditional Sentences
1813	bn-282-moods-in-dependent-clauses	1813. The indicative is used in simple declarations or descriptions introduced by a relati	Moods in Dependent Clauses
1814	bn-282-moods-in-dependent-clauses	1814. The indicative is also used with indefinite relative pronouns and adverbs: as, quidq	Moods in Dependent Clauses
1817	bn-282-moods-in-dependent-clauses	1817. (1.) Relative sentences of purpose are equivalent to subjunctive sentences introduce	Moods in Dependent Clauses
1818	bn-282-moods-in-dependent-clauses	1818. (2.) Relative sentences of characteristic or result are equivalent to subjunctive se	Moods in Dependent Clauses
1819	bn-282-moods-in-dependent-clauses	1819. The subjunctive with quī is often used with dignus, indignus, or idōneus, usually wi	Moods in Dependent Clauses
1821	bn-282-moods-in-dependent-clauses	1821. Relative sentences after assertions or questions of existence or non-existence, usua	Moods in Dependent Clauses
1823	bn-282-moods-in-dependent-clauses	1823. The indicative, however, is not infrequently found in affirmative sentences, particu	Moods in Dependent Clauses
1824	bn-282-moods-in-dependent-clauses	1824. (3.) Relative sentences of cause, reason, proof, or of concession, are equivalent to	Moods in Dependent Clauses
1825	bn-282-moods-in-dependent-clauses	1825. With quī tamen, however, the indicative is usual: as, alter, quī tamen sē continuera	Moods in Dependent Clauses
1827	bn-282-moods-in-dependent-clauses	1827. The causal relative is often introduced by quippe, less frequently by ut, or ut pote	Moods in Dependent Clauses
1829	bn-282-moods-in-dependent-clauses	1829. The subjunctive is used in parenthetical sentences of restriction: as, 310 quod scia	Moods in Dependent Clauses
1830	bn-282-moods-in-dependent-clauses	1830. The indicative, however, is used in quod attinet ad, as to, and usually with quantum	Moods in Dependent Clauses
1832	bn-250-syntax-of-relative-pronouns	1832. (1.) When two coordinate relative sentences would have the second relative in the sa	Syntax of relative pronouns
1833	bn-250-syntax-of-relative-pronouns	1833. (2.) When two coordinate relative sentences require two different cases of the relat	Syntax of relative pronouns
1835	bn-250-syntax-of-relative-pronouns	1835. Besides the ordinary use of the relative, to introduce a subordinate sentence, it is	Syntax of relative pronouns
1841	bn-282-moods-in-dependent-clauses	1841. (2.) quod, why, for what, is used in such expansions as quid est quod? quid habēs qu	Moods in Dependent Clauses
1842	bn-292-temporal-clauses-with-the-subjunctive	1842. (3.) quod, as to what, or that, is used, especially at the beginning of a sentence, 	Temporal clauses with the subjunctive
1845	bn-292-temporal-clauses-with-the-subjunctive	1845. The sentence with quod may represent a subject, as with accēdit; an object, as with 	Temporal clauses with the subjunctive
1848		1848. nisi quod, or in Plautus and Terence nisi quia, but for the fact that, except, only 	
1849	bn-292-temporal-clauses-with-the-subjunctive	1849. quid quod? for quid dē eō dīcam quod? what of the fact that, or nay more, marks an i	Temporal clauses with the subjunctive
1850	bn-292-temporal-clauses-with-the-subjunctive	1850. With verbs of doing or happening, accompanied by some word of manner, quod introduce	Temporal clauses with the subjunctive
1851	bn-292-temporal-clauses-with-the-subjunctive,bn-282-moods-in-dependent-clauses	1851. quod, that, because, is used to denote cause with verbs of emotion. Thus, as with id	Temporal clauses with the subjunctive; Moods in Dependent Clauses
1852	bn-292-temporal-clauses-with-the-subjunctive,bn-282-moods-in-dependent-clauses	1852. Verbs of praising, blaming, accusing, and condemning, often take quod: as, quod bene	Temporal clauses with the subjunctive; Moods in Dependent Clauses
1853	bn-282-moods-in-dependent-clauses	1853. Causal quod, owing to the fact that, because, introduces an efficient cause, or a re	Moods in Dependent Clauses
1855	bn-282-moods-in-dependent-clauses	1855. An untenable reason is introduced in Plautus by nōn eō quia, in Terence by nōn eō qu	Moods in Dependent Clauses
1860	bn-282-moods-in-dependent-clauses	1860. cum, when, whenever, if, of indefinite time, may introduce any tense of the indicati	Moods in Dependent Clauses
1862	bn-282-moods-in-dependent-clauses	1862. cum, when, of definite time, regularly introduces the indicative of any action, not 	Moods in Dependent Clauses
1866	bn-282-moods-in-dependent-clauses	1866. (3.) The indicative perfect or present of vivid narration is used with cum, when, to	Moods in Dependent Clauses
1867	bn-282-moods-in-dependent-clauses	1867. (4.) The indicative perfect or present of vivid narration is regularly used with cum	Moods in Dependent Clauses
1868	bn-282-moods-in-dependent-clauses	1868. An emphatic indicative clause with cum, while, often follows the main action. The cl	Moods in Dependent Clauses
1869	bn-282-moods-in-dependent-clauses	1869. An indicative clause with cum, usually expressing sudden or unexpected action, somet	Moods in Dependent Clauses
1870	bn-282-moods-in-dependent-clauses	1870. A clause with cum is often used attributively with words denoting time, or with est,	Moods in Dependent Clauses
1871	bn-282-moods-in-dependent-clauses	1871. The indicative present or perfect with cum is used in expressions equivalent to an e	Moods in Dependent Clauses
1872	bn-282-moods-in-dependent-clauses	1872. With cum, when, the imperfect or pluperfect subjunctive is used to describe the circ	Moods in Dependent Clauses
1873	bn-282-moods-in-dependent-clauses	1873. The difference in meaning between cum with the indicative and cum with the subjuncti	Moods in Dependent Clauses
1877	bn-282-moods-in-dependent-clauses	1877. cum, since, although, even though, usually introduces the subjunctive: as, Denoting 	Moods in Dependent Clauses
1879	bn-282-moods-in-dependent-clauses	1879. Explanatory cum is sometimes introduced by quippe, rarely by ut pote, naturally: as,	Moods in Dependent Clauses
1880	bn-282-moods-in-dependent-clauses	1880. The adversative idea is often emphasized by the use of tamen in the main clause: as,	Moods in Dependent Clauses
1881	bn-282-moods-in-dependent-clauses,bn-341-coordinate-conjunctions	1881. A protasis with cum is often followed by an emphatic apodosis introduced by tum. The	Moods in Dependent Clauses; Coördinate Conjunctions
1884	bn-282-moods-in-dependent-clauses	1884. (2.) quoniam, since, seeing that, now that, with the indicative, introduces a reason	Moods in Dependent Clauses
1885	bn-282-moods-in-dependent-clauses	1885. The relative particle quotiēns (711), or quotiēnscumque, every time that, whenever, 	Moods in Dependent Clauses
1886	bn-282-moods-in-dependent-clauses	1886. quotiēns has sometimes as a correlative totiēns, or a combination with tot which is 	Moods in Dependent Clauses
1889		1889. (1.) quam, as, is used in the protasis of a comparative period of equality, generall	
1891	bn-341-coordinate-conjunctions	1891. tam . . . quam become by abridgement coordinating words: as, tam vēra quam falsa cer	Coördinate Conjunctions
1892	bn-240-comparatives-and-superlatives	1892. The highest possible degree is expressed by tam . . . quam quī and a superlative wit	Comparatives and Superlatives
1894	bn-240-comparatives-and-superlatives,bn-214-genuine-ablative-uses	1894. (2.) quam, than, is used in the protasis of a comparative period of inequality, with	Comparatives and Superlatives; Genuine Ablative Uses
1895	bn-240-comparatives-and-superlatives	1895. quam is also used with some virtual comparatives: thus, nihil aliud, nōn aliud quam,	Comparatives and Superlatives
1896	bn-282-moods-in-dependent-clauses	1896. The subjunctive is used with quam or quam ut after comparatives denoting disproporti	Moods in Dependent Clauses
1897	bn-292-temporal-clauses-with-the-subjunctive	1897. The subjunctive is used in clauses introduced by potius quam, rather than, to denote	Temporal clauses with the subjunctive
1898	bn-240-comparatives-and-superlatives	1898. When the main clause is an infinitive, quam is often followed by an infinitive: as, 	Comparatives and Superlatives
1900	bn-301-conditional-sentences	1900. (2.) quamquam, although, introduces the indicative in the concession of a definite f	Conditional Sentences
1903	bn-240-comparatives-and-superlatives	1903. quam vīs or quamvīs is used as an indefinite adverb (712), as much as you please, an	Comparatives and Superlatives
1904	bn-301-conditional-sentences,bn-278-concessive-subjunctive	1904. (1.) The indefinite adverb quam vīs, as much as you please, is often used in subjunc	Conditional Sentences; Concessive Subjunctive
1905	bn-301-conditional-sentences	1905. (2.) The subjunctive with the conjunction quamvīs, however much, even if, though, de	Conditional Sentences
1906	bn-301-conditional-sentences	1906. quamvīs, even if, though, is also sometimes used with the indicative (1900): as, era	Conditional Sentences
1908		1908. tamquam, just as, introduces an indicative protasis in periods of comparison. The ta	
1909	bn-282-moods-in-dependent-clauses,bn-323-implied-indirect-discourse	1909. In late writers, especially in Tacitus, tamquam is often used to introduce a reason 	Moods in Dependent Clauses; Implied Indirect Discourse
1912	bn-291-antequam-and-priusquam-with-the,bn-292-temporal-clauses-with-the-subjunctive	1912. In general present statements, antequam and priusquam regularly introduce the perfec	Antequam and priusquam with the indicative; Temporal clauses with the subjunctive
